tp,fp,tn,fn,sensitivity,specificity,precision,f1,false_negative_rate,false_positive_rate,accuracy,held_out,rung,seed,threshold,n,positives,prevalence,auroc,auprc,mae
2,0,391,6,0.250000,1.000000,1.000000,0.400000,0.750000,0.000000,0.984962,Kazakhstan,rung4b_spatial_cavity,1,120,399,8,0.020050,0.986893,0.662940,16.438218
4,0,391,4,0.500000,1.000000,1.000000,0.666667,0.500000,0.000000,0.989975,Kazakhstan,rung4b_spatial_cavity,2,120,399,8,0.020050,0.986893,0.772037,16.972222
1,0,391,7,0.125000,1.000000,1.000000,0.222222,0.875000,0.000000,0.982456,Kazakhstan,rung4b_spatial_cavity,3,120,399,8,0.020050,0.987212,0.709881,16.381977
2,1,390,6,0.250000,0.997442,0.666667,0.363636,0.750000,0.002558,0.982456,Kazakhstan,rung4b_spatial_cavity,4,120,399,8,0.020050,0.980818,0.582983,17.160357
0,0,532,57,0.000000,1.000000,,,1.000000,0.000000,0.903226,Moldova,agentic_best_spatcav,0,120,589,57,0.096774,0.922009,0.538703,22.276655
0,0,532,57,0.000000,1.000000,,,1.000000,0.000000,0.903226,Moldova,agentic_best_spatcav,1,120,589,57,0.096774,0.916667,0.482282,21.061160
0,0,532,57,0.000000,1.000000,,,1.000000,0.000000,0.903226,Moldova,agentic_best_spatcav,2,120,589,57,0.096774,0.917194,0.528264,21.206088
1,0,532,56,0.017544,1.000000,1.000000,0.034483,0.982456,0.000000,0.904924,Moldova,agentic_best_spatcav,3,120,589,57,0.096774,0.921119,0.519728,21.197054
0,0,532,57,0.000000,1.000000,,,1.000000,0.000000,0.903226,Moldova,agentic_best_spatcav,4,120,589,57,0.096774,0.911489,0.508487,22.205787
0,0,532,57,0.000000,1.000000,,,1.000000,0.000000,0.903226,Moldova,rung1_bmc,0,120,589,57,0.096774,0.918579,0.527444,22.401718
0,0,532,57,0.000000,1.000000,,,1.000000,0.000000,0.903226,Moldova,rung1_bmc,1,120,589,57,0.096774,0.911159,0.478131,21.352729
1,0,532,56,0.017544,1.000000,1.000000,0.034483,0.982456,0.000000,0.904924,Moldova,rung1_bmc,2,120,589,57,0.096774,0.907763,0.514832,21.757052
0,0,532,57,0.000000,1.000000,,,1.000000,0.000000,0.903226,Moldova,rung1_bmc,3,120,589,57,0.096774,0.908126,0.486396,22.674801
2,0,532,55,0.035088,1.000000,1.000000,0.067797,0.964912,0.000000,0.906621,Moldova,rung1_bmc,4,120,589,57,0.096774,0.909544,0.510219,21.429468
0,0,532,57,0.000000,1.000000,,,1.000000,0.000000,0.903226,Moldova,rung1_mse,0,120,589,57,0.096774,0.920426,0.534670,23.278662
0,0,532,57,0.000000,1.000000,,,1.000000,0.000000,0.903226,Moldova,rung1_mse,1,120,589,57,0.096774,0.915677,0.499805,21.947297
0,0,532,57,0.000000,1.000000,,,1.000000,0.000000,0.903226,Moldova,rung1_mse,2,120,589,57,0.096774,0.919041,0.537659,21.881111
0,0,532,57,0.000000,1.000000,,,1.000000,0.000000,0.903226,Moldova,rung1_mse,3,120,589,57,0.096774,0.900079,0.457430,22.181357
1,0,532,56,0.017544,1.000000,1.000000,0.034483,0.982456,0.000000,0.904924,Moldova,rung1_mse,4,120,589,57,0.096774,0.913402,0.528826,23.469064
