mode,rung,loss,standardize,retrieval,alpha,cavity_loss,cavity_thr,alp_head,ensemble,held_out,seed,n_test,alp_mae,cavity_auc,cavity_f1,timika_mae,timika_pearson,timika_mae_ci_lo,timika_mae_ci_hi,conformal_cov,conformal_width,base_timika_mae,paper_timika_mae,cav_best_val_ce,verdict
fusion,rung6_conformal,bmc,none,False,0.0,ce,0.5,mlp,10,Kazakhstan,3,399,10.432661056518556,,,17.993934024097328,0.7625325862971322,16.46183204433897,19.551118010756813,0.9022556390977444,83.14764556884765,21.9,19.62,0.5405147075653076,BEATS
fusion,rung6_conformal,bmc,none,False,0.0,ce,0.5,mlp,10,Kazakhstan,4,399,10.445960998535156,,,17.663160717875737,0.7776936718400997,16.26504162797541,19.134108321626385,0.9323308270676692,84.84075736999512,21.9,19.62,0.516109824180603,BEATS
fusion,rung7_calibrate_lin,bmc,none,False,0.0,ce,0.5,mlp,1,Romania,0,220,12.788670539855955,,,19.65051425933838,0.6548202740278641,17.61430710963228,21.58940619283372,,,20.26,18.7,0.5340337157249451,within-noise
fusion,rung7_calibrate_lin,bmc,none,False,0.0,ce,0.5,mlp,1,Romania,1,220,12.60714626312256,,,20.333868433778942,0.6359838416282584,18.373110601858663,22.28430672988025,,,20.26,18.7,0.529326856136322,within-noise
fusion,rung7_calibrate_lin,bmc,none,False,0.0,ce,0.5,mlp,1,Romania,2,220,12.84292697906494,,,19.83386366193945,0.6600347963350732,17.992183857440946,21.793186825437974,,,20.26,18.7,0.5664180517196655,within-noise
fusion,rung7_calibrate_lin,bmc,none,False,0.0,ce,0.5,mlp,1,Romania,3,220,13.752931594848633,,,20.13546360015869,0.6621730816285674,18.24454108231718,22.183048091671683,,,20.26,18.7,0.5793893933296204,within-noise
fusion,rung7_calibrate_lin,bmc,none,False,0.0,ce,0.5,mlp,1,Romania,4,220,12.822101593017578,,,20.13704625866629,0.6410649831939015,18.245736730933192,22.10982266627658,,,20.26,18.7,0.5446211695671082,within-noise
fusion,rung7_calibrate_lin,bmc,none,False,0.0,ce,0.5,mlp,1,Moldova,0,589,21.4459171295166,,,22.617287436648823,0.8144049678546427,20.93630937930886,24.29235984598032,,,26.16,18.85,0.5669577717781067,BEATS
fusion,rung7_calibrate_lin,bmc,none,False,0.0,ce,0.5,mlp,1,Moldova,1,589,20.520801544189453,,,22.2088216533078,0.787021596946578,20.675202559918823,23.84704265500876,,,26.16,18.85,0.545996904373169,BEATS
fusion,rung7_calibrate_lin,bmc,none,False,0.0,ce,0.5,mlp,1,Moldova,2,589,21.05326461791992,,,22.396212960544386,0.7706995821277947,20.882043064509872,23.886596676304503,,,26.16,18.85,0.5653663277626038,BEATS
fusion,rung7_calibrate_lin,bmc,none,False,0.0,ce,0.5,mlp,1,Moldova,3,589,20.60134696960449,,,22.0697737849629,0.7669979210209635,20.564392908482684,23.589871131339585,,,26.16,18.85,0.5528581738471985,BEATS
fusion,rung7_calibrate_lin,bmc,none,False,0.0,ce,0.5,mlp,1,Moldova,4,589,21.604894638061523,,,23.071357621604196,0.8084060007001624,21.31034135638352,24.83453644197845,,,26.16,18.85,0.58884596824646,BEATS
fusion,rung7_calibrate_lin,bmc,none,False,0.0,ce,0.5,mlp,1,Kazakhstan,0,399,10.678781509399414,,,17.867076140716858,0.7812499690769749,16.37566221284986,19.30395916222331,,,21.9,19.62,0.5771103501319885,BEATS
fusion,rung7_calibrate_lin,bmc,none,False,0.0,ce,0.5,mlp,1,Kazakhstan,1,399,10.476134300231934,,,16.84544843527906,0.7956290934745609,15.4025527586196,18.327964589500187,,,21.9,19.62,0.5406512022018433,BEATS
fusion,rung7_calibrate_lin,bmc,none,False,0.0,ce,0.5,mlp,1,Kazakhstan,2,399,10.59566879272461,,,17.814899677023256,0.7786516875234537,16.31509669238762,19.301843273612796,,,21.9,19.62,0.5351744890213013,BEATS
fusion,rung7_calibrate_lin,bmc,none,False,0.0,ce,0.5,mlp,1,Kazakhstan,3,399,10.478398323059082,,,18.459721743791626,0.7509233906297443,16.917859398556832,20.01510094027173,,,21.9,19.62,0.5405147075653076,BEATS
fusion,rung7_calibrate_lin,bmc,none,False,0.0,ce,0.5,mlp,1,Kazakhstan,4,399,10.715290069580078,,,18.62887622927663,0.7729675672055317,17.175749345403865,20.06737576823187,,,21.9,19.62,0.516109824180603,BEATS
fusion,rung7_calibrate_iso,bmc,none,False,0.0,ce,0.5,mlp,1,Romania,0,220,12.740010261535645,,,19.70038100123406,0.6552874350496275,17.701955098173833,21.617733877653425,,,20.26,18.7,0.5340337157249451,within-noise
fusion,rung7_calibrate_iso,bmc,none,False,0.0,ce,0.5,mlp,1,Romania,1,220,12.440522193908691,,,20.242380567030477,0.6382130809476043,18.29867408028516,22.2066352518255,,,20.26,18.7,0.529326856136322,within-noise
fusion,rung7_calibrate_iso,bmc,none,False,0.0,ce,0.5,mlp,1,Romania,2,220,12.772689819335938,,,19.811364993182096,0.6628845632246472,18.02690379108082,21.769338016076524,,,20.26,18.7,0.5664180517196655,within-noise
fusion,rung7_calibrate_iso,bmc,none,False,0.0,ce,0.5,mlp,1,Romania,3,220,13.609435081481934,,,19.676228457580915,0.6745580325878107,17.872740036395463,21.540626170239666,,,20.26,18.7,0.5793893933296204,within-noise
fusion,rung7_calibrate_iso,bmc,none,False,0.0,ce,0.5,mlp,1,Romania,4,220,12.794957160949709,,,20.20942266648466,0.6437889884693196,18.321280111033804,22.09021122947064,,,20.26,18.7,0.5446211695671082,within-noise
fusion,rung7_calibrate_iso,bmc,none,False,0.0,ce,0.5,mlp,1,Moldova,0,589,21.42744827270508,,,22.974904737569684,0.8141901798131072,21.276233176610265,24.623775844590167,,,26.16,18.85,0.5669577717781067,BEATS
fusion,rung7_calibrate_iso,bmc,none,False,0.0,ce,0.5,mlp,1,Moldova,1,589,20.6621150970459,,,22.49946753764193,0.776516570613037,20.934185412197245,24.14739508880824,,,26.16,18.85,0.545996904373169,BEATS
fusion,rung7_calibrate_iso,bmc,none,False,0.0,ce,0.5,mlp,1,Moldova,2,589,21.292564392089844,,,22.4405127564189,0.7739537664210314,20.823378625735767,24.00700436236701,,,26.16,18.85,0.5653663277626038,BEATS
fusion,rung7_calibrate_iso,bmc,none,False,0.0,ce,0.5,mlp,1,Moldova,3,589,20.70122528076172,,,22.014303922248413,0.7750104175102519,20.523365005665603,23.605612224219,,,26.16,18.85,0.5528581738471985,BEATS
